Mnemonics,HK_EQUITYP_HS_M,HK_RATE_LENDINGB_M,HK_RATE_POLICY_M,HK_XREALGDP_Q,SG_EQUITYP_STI_M,SG_EXRATE_M,SG_RATE_LENDING_M,SG_REALGDP_Q,US_CPI_M,US_LBR_M,US_OILPRICE_M,US_RATE_POLICY_M,US_RGDP_Q,US_RHPI_M
1-Feb-16,19722.62,5,0.75,565290,2840.9,1.34843581,5.35,99708.1,237.3863333,4.933333333,38.34,0.36,16525,184.545
1-Mar-16,20015.83889,5,0.75,563383.3333,2840.91,1.348011947,5.35,99771.53333,238.314,4.911111111,41.67,0.366666667,16544.36667,185.205
1-Apr-16,20309.05778,5,0.75,561476.6667,2840.92,1.347588083,5.35,99834.96667,239.2416667,4.888888889,45,0.373333333,16563.73333,185.865
1-May-16,20602.27667,5,0.75,559570,2840.93,1.34716422,5.35,99898.4,240.1693333,4.866666667,48.33,0.38,16583.1,186.525
1-Jun-16,21257.60111,5,0.75,573146,2850.443333,1.352489707,5.35,99866.76667,240.4356667,4.877777778,48.3,0.386666667,16631.06667,188.1966667
1-Jul-16,21912.92556,5,0.75,586722,2859.956667,1.357815193,5.35,99835.13333,240.702,4.888888889,48.27,0.393333333,16679.03333,189.8683333
1-Aug-16,22568.25,5,0.75,600298,2869.47,1.36314068,5.35,99803.5,240.9683333,4.9,48.24,0.4,16727,191.54
1-Sep-16,22629.34333,5,0.833333333,611352.3333,2873.233333,1.391360453,5.35,100781.7333,241.1471111,4.833333333,50.06666667,0.446666667,16755.76667,192.5976142
1-Oct-16,22690.43667,5,0.916666667,622406.6667,2876.996667,1.419580227,5.35,101759.9667,241.3258889,4.766666667,51.89333333,0.493333333,16784.53333,193.6552284
1-Nov-16,22751.53,5,1,633461,2880.76,1.4478,5.35,102738.2,241.5046667,4.7,53.72,0.54,16813.3,194.7128426
1-Dec-16,23008.73111,5,1.083333333,616623.1571,2978.876667,1.447883333,5.326666667,102891.2779,241.0918666,4.683594113,52.68,0.623333333,16846.62813,195.0728235
