COUNTRY,MISSION,VISA ISSUE DATE,EMPLOYMENT VISA,TOURIST VISA,BUSINESS VISA,CONFERENCE VISA,BUS VISA INDSPOUSE,BUSINESS VISA TRANSFER,DIPLOMATIC VISA,DIPLOMATIC DEPENDANT VISA,EMPLOYMENT VISA INDSPOUSE,ENTRY VISA,MEDICAL VISA,MEDICAL ATTENDENT VISA,MISSIONARY VISA,PILGRIMAGE VISA,RESEARCH VISA,PROJECT VISA,TRANSIT VISA,VISIT VISA,ART SURROGACY,LONG TERM VISA TRANSFER,STUDENT VISA
CHINA,CHINA-HONGKONG,18-03-2013,0,77,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA,CHINA-SHANGHAI,18-03-2013,0,64,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,COLOMBIA-BOGOTA,18-03-2013,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,GERMANY-BERLIN,18-03-2013,5,64,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,GERMANY-FRANKFURT,18-03-2013,5,86,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GERMANY,GERMANY-HAMBURG,18-03-2013,4,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
GERMANY,GERMANY-MUNICH,18-03-2013,14,69,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DENMARK,DENMARK-COPENHAGEN,18-03-2013,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGYPT,EGYPT-CAIRO,18-03-2013,0,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
SPAIN,SPAIN-MADRID,18-03-2013,0,78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,ETHIOPIA-ADDISABABA,18-03-2013,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINLAND,FINLAND-HELSINKI,18-03-2013,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCE,FRANCE-PARIS,18-03-2013,0,323,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UNITED KINGDOM,UK-BIRMINGHAM,18-03-2013,0,215,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,UK-EDINBURGH,18-03-2013,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,UK-LONDON,18-03-2013,7,655,189,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
GHANA,GHANA-ACCRA,18-03-2013,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,GUATEMALA-GUATEMALACITY,18-03-2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROATIA,CROATIA-ZAGREB,18-03-2013,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HUNGARY,HUNGARY-BUDAPEST,18-03-2013,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDONESIA,INDONESIA-JAKARTA,18-03-2013,5,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
INDONESIA,INDONESIA-MEDAN,18-03-2013,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRELAND,IRELAND-DUBLIN,18-03-2013,0,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
IRAN,IRAN-TEHRAN,18-03-2013,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISRAEL,ISRAEL-TELAVIV,18-03-2013,0,124,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALY,ITALY-MILAN,18-03-2013,7,223,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALY,ITALY-ROME,18-03-2013,0,65,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN,JAPAN-KOBE,18-03-2013,12,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN,JAPAN-TOKYO,18-03-2013,3,89,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZAKHSTAN,KAZAKSTAN-ALMATY,18-03-2013,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZAKHSTAN,KAZAKSTAN-ASTANA,18-03-2013,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENYA,KENYA-MOMBASA,18-03-2013,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENYA,KENYA-NAIROBI,18-03-2013,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMBODIA,CAMBODIA-PHNOMPENH,18-03-2013,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
KOREA(REPUBLIC OF),KOREA(SOUTH)-SEOUL,18-03-2013,4,76,125,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
LAOS,LAOS-VIENTIENE,18-03-2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SRI LANKA,SRILANKA-COLOMBO,18-03-2013,0,444,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
MALDIVES,MALDIVES-MALE,18-03-2013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEXICO,MEXICO-MEXICOCITY,18-03-2013,0,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZAMBIQUE,MOZAMBIQUE-MAPUTO,18-03-2013,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAURITIUS,MAURITIUS-PORTLOUIS,18-03-2013,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAYSIA,MALAYSIA-KUALALUMPUR,18-03-2013,0,490,20,6,0,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
NIGERIA,NIGERIA-ABUJA,18-03-2013,0,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NIGERIA,NIGERIA-LAGOS,18-03-2013,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NETHERLANDS,NETHERLANDS-THEHAGUE,18-03-2013,0,111,87,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWAY,NORWAY-OSLO,18-03-2013,1,31,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEPAL,NEPAL-KATHMANDU,18-03-2013,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
NEW ZEALAND,NEWZEALAND-WELLINGTON,18-03-2013,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMAN,OMAN-MUSCAT,18-03-2013,0,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAKISTAN,PAKISTAN-ISLAMABAD,18-03-2013,0,4,14,0,0,0,7,0,0,0,0,0,0,8,0,0,0,180,0,0,0
PERU,PERU-LIMA,18-03-2013,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHILIPPINES,PHILLIPINES-MANILA,18-03-2013,0,25,21,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
POLAND,POLAND-WARSAW,18-03-2013,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTUGAL,PORTUGAL-LISBON,18-03-2013,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUSSIAN FEDERATION,RUSSIA-MOSCOW,18-03-2013,0,609,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUSSIAN FEDERATION,RUSSIA-SAINTPETERSBURG,18-03-2013,1,91,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SAUDI ARABIA,SAUDIARABIA-JEDDAH,18-03-2013,0,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDAN,SUDAN-KHARTOUM,18-03-2013,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE,SINGAPORE-SINGAPORE,18-03-2013,0,180,89,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SLOVENIA,SLOVENIA-LJUBLJANA,18-03-2013,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWEDEN,SWEDEN-STOCKHOLM,18-03-2013,1,28,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THAILAND,THAILAND-BANGKOK,18-03-2013,0,45,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THAILAND,THAILAND-CHIANGMAI,18-03-2013,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURKEY,TURKEY-ANKARA,18-03-2013,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURKEY,TURKEY-ISTANBUL,18-03-2013,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TAIWAN,TAIWAN-TAIPEI,18-03-2013,1,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES OF AMERICA,USA-CHICAGO,18-03-2013,0,57,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES OF AMERICA,USA-HOUSTON,18-03-2013,0,146,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES OF AMERICA,USA-NEWYORK,18-03-2013,0,332,152,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UNITED STATES OF AMERICA,USA-SANFRANCISCO,18-03-2013,0,208,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VIETNAM,VIETNAM-HANOI,18-03-2013,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIETNAM,VIETNAM-HO-CHI-MINHCITY,18-03-2013,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEMEN,YEMEN-SANAA,18-03-2013,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-CAPETOWN,18-03-2013,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-DURBAN,18-03-2013,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-JOHANNESBURG,18-03-2013,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-PRETORIA,18-03-2013,0,32,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNITED ARAB EMIRATES,UAE-ABUDHABI,19-03-2013,0,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
UNITED ARAB EMIRATES,UAE-DUBAI,19-03-2013,0,215,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARGENTINA,ARGENTINA-BUENOSAIRES,19-03-2013,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-CANBERRA,19-03-2013,1,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-MELBOURNE,19-03-2013,1,86,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AUSTRALIA,AUSTRALIA-PERTH,19-03-2013,2,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
AUSTRALIA,AUSTRALIA-SYDNEY,19-03-2013,0,166,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRIA,AUSTRIA-VIENNA,19-03-2013,0,41,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELGIUM,BELGIUM-BRUSSELS,19-03-2013,0,99,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGLADESH,BANGLADESH-CHITTAGONG,19-03-2013,0,176,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BANGLADESH,BANGLADESH-DHAKA,19-03-2013,0,1217,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BANGLADESH,BANGLADESH-RAJSHAHI,19-03-2013,0,202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAHRAIN,BAHRAIN-ALDIYA,19-03-2013,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,BRAZIL-SAOPAULO,19-03-2013,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRUNEI,BRUNEI-DARUSSALAM,19-03-2013,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANADA,CANADA-OTTAWA,19-03-2013,0,45,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANADA,CANADA-TORONTO,19-03-2013,0,120,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANADA,CANADA-VANCOUVER,19-03-2013,0,127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWITZERLAND,SWITZERLAND-BERNE,19-03-2013,0,79,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA,CHINA-BEIJING,19-03-2013,0,40,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA,CHINA-GUANGZHOU,19-03-2013,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA,CHINA-HONGKONG,19-03-2013,0,99,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHINA,CHINA-SHANGHAI,19-03-2013,0,8,138,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,COLOMBIA-BOGOTA,19-03-2013,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,GERMANY-BERLIN,19-03-2013,3,77,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GERMANY,GERMANY-FRANKFURT,19-03-2013,6,75,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GERMANY,GERMANY-HAMBURG,19-03-2013,2,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
GERMANY,GERMANY-MUNICH,19-03-2013,0,88,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMARK,DENMARK-COPENHAGEN,19-03-2013,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGYPT,EGYPT-CAIRO,19-03-2013,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPAIN,SPAIN-MADRID,19-03-2013,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,ETHIOPIA-ADDISABABA,19-03-2013,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FINLAND,FINLAND-HELSINKI,19-03-2013,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCE,FRANCE-PARIS,19-03-2013,0,407,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
UNITED KINGDOM,UK-BIRMINGHAM,19-03-2013,0,282,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,UK-EDINBURGH,19-03-2013,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,UK-LONDON,19-03-2013,12,676,174,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
GHANA,GHANA-ACCRA,19-03-2013,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GREECE,GREECE-ATHENS,19-03-2013,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CROATIA,CROATIA-ZAGREB,19-03-2013,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUNGARY,HUNGARY-BUDAPEST,19-03-2013,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDONESIA,INDONESIA-BALI,19-03-2013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDONESIA,INDONESIA-JAKARTA,19-03-2013,1,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
INDONESIA,INDONESIA-MEDAN,19-03-2013,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRELAND,IRELAND-DUBLIN,19-03-2013,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,IRAN-BANDARABBAS,19-03-2013,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
IRAN,IRAN-TEHRAN,19-03-2013,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISRAEL,ISRAEL-TELAVIV,19-03-2013,0,120,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALY,ITALY-MILAN,19-03-2013,0,124,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALY,ITALY-ROME,19-03-2013,0,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN,JAPAN-KOBE,19-03-2013,6,43,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN,JAPAN-TOKYO,19-03-2013,35,113,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZAKHSTAN,KAZAKSTAN-ALMATY,19-03-2013,0,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZAKHSTAN,KAZAKSTAN-ASTANA,19-03-2013,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENYA,KENYA-MOMBASA,19-03-2013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENYA,KENYA-NAIROBI,19-03-2013,0,22,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAMBODIA,CAMBODIA-PHNOMPENH,19-03-2013,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOREA(REPUBLIC OF),KOREA(SOUTH)-SEOUL,19-03-2013,3,80,153,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0
SRI LANKA,SRILANKA-COLOMBO,19-03-2013,0,490,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRI LANKA,SRILANKA-HAMBANTOTA,19-03-2013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRI LANKA,SRILANKA-JAFFNA,19-03-2013,0,60,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALDIVES,MALDIVES-MALE,19-03-2013,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEXICO,MEXICO-MEXICOCITY,19-03-2013,0,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZAMBIQUE,MOZAMBIQUE-MAPUTO,19-03-2013,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MAURITIUS,MAURITIUS-PORTLOUIS,19-03-2013,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAYSIA,MALAYSIA-KUALALUMPUR,19-03-2013,0,576,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
NIGERIA,NIGERIA-ABUJA,19-03-2013,0,35,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGERIA,NIGERIA-LAGOS,19-03-2013,1,6,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
NETHERLANDS,NETHERLANDS-THEHAGUE,19-03-2013,0,94,57,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NORWAY,NORWAY-OSLO,19-03-2013,1,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEPAL,NEPAL-KATHMANDU,19-03-2013,0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0
NEW ZEALAND,NEWZEALAND-WELLINGTON,19-03-2013,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMAN,OMAN-MUSCAT,19-03-2013,0,187,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAKISTAN,PAKISTAN-ISLAMABAD,19-03-2013,0,0,12,47,0,0,0,0,0,0,0,0,0,9,0,0,0,75,0,0,0
PERU,PERU-LIMA,19-03-2013,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHILIPPINES,PHILLIPINES-MANILA,19-03-2013,0,15,14,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0
POLAND,POLAND-WARSAW,19-03-2013,2,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTUGAL,PORTUGAL-LISBON,19-03-2013,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUSSIAN FEDERATION,RUSSIA-MOSCOW,19-03-2013,0,1155,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RUSSIAN FEDERATION,RUSSIA-SAINTPETERSBURG,19-03-2013,0,123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAUDI ARABIA,SAUDIARABIA-JEDDAH,19-03-2013,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
SUDAN,SUDAN-KHARTOUM,19-03-2013,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE,SINGAPORE-SINGAPORE,19-03-2013,0,211,116,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLOVENIA,SLOVENIA-LJUBLJANA,19-03-2013,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWEDEN,SWEDEN-STOCKHOLM,19-03-2013,0,90,61,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
THAILAND,THAILAND-BANGKOK,19-03-2013,0,50,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
THAILAND,THAILAND-CHIANGMAI,19-03-2013,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURKEY,TURKEY-ANKARA,19-03-2013,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TURKEY,TURKEY-ISTANBUL,19-03-2013,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TAIWAN,TAIWAN-TAIPEI,19-03-2013,1,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES OF AMERICA,USA-CHICAGO,19-03-2013,0,87,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES OF AMERICA,USA-HOUSTON,19-03-2013,0,140,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES OF AMERICA,USA-NEWYORK,19-03-2013,0,262,141,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UNITED STATES OF AMERICA,USA-SANFRANCISCO,19-03-2013,0,181,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIETNAM,VIETNAM-HANOI,19-03-2013,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIETNAM,VIETNAM-HO-CHI-MINHCITY,19-03-2013,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEMEN,YEMEN-SANAA,19-03-2013,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
SOUTH AFRICA,SOUTHAFRICA-CAPETOWN,19-03-2013,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-DURBAN,19-03-2013,0,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-JOHANNESBURG,19-03-2013,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,SOUTHAFRICA-PRETORIA,19-03-2013,0,72,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED ARAB EMIRATES,UAE-ABUDHABI,20-03-2013,0,93,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED ARAB EMIRATES,UAE-DUBAI,20-03-2013,0,352,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARGENTINA,ARGENTINA-BUENOSAIRES,20-03-2013,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-CANBERRA,20-03-2013,1,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-MELBOURNE,20-03-2013,1,83,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-PERTH,20-03-2013,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALIA,AUSTRALIA-SYDNEY,20-03-2013,0,108,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRIA,AUSTRIA-VIENNA,20-03-2013,1,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELGIUM,BELGIUM-BRUSSELS,20-03-2013,0,74,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGLADESH,BANGLADESH-CHITTAGONG,20-03-2013,0,255,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
BANGLADESH,BANGLADESH-DHAKA,20-03-2013,0,1087,84,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0
BANGLADESH,BANGLADESH-RAJSHAHI,20-03-2013,0,180,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BAHRAIN,BAHRAIN-ALDIYA,20-03-2013,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,BRAZIL-BRASILIA,20-03-2013,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,BRAZIL-SAOPAULO,20-03-2013,2,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
